Family,Species,Nematodes,Other Cestodes,Tetraphyllideans,Trypanorhynchs,Other Digeneans,Opecoelids,Acanthocephalans,Order
Bathylagidae,Dolicholagus longirostris,0,0,0,0,0,0,0,10
Gempylidae,Nealotus tripes,0.017,0.017,0.397,0.017,0.052,0.5,0,7
Gonostomatidae,Cyclothone obscura,0,0,0,0,0,0,0,14
Gonostomatidae,Sigmops elongatus,0.143,0,0,0.429,0.393,0,0.036,4
Myctophidae,Benthosema suborbitale,0,0,0.167,0,0.667,0,0.167,16
Myctophidae,Ceratoscopelus warmingii,0,0.5,0,0,0.5,0,0,15
Myctophidae,Diaphus dumerilii,1,0,0,0,0,0,0,13
Myctophidae,Diaphus lucidus,0.596,0,0.019,0.327,0.058,0,0,12
Myctophidae,Diaphus mollis,0,0,0,0,0,1,0,11
Myctophidae,Lampanyctus alatus,0,0,0,0.714,0.286,0,0,9
Myctophidae,Lepidophanes guentheri,0.2,0,0,0.2,0.5,0.1,0,8
Scombrolabracidae,Scombrolabrax heterolepis,0.206,0,0.235,0.088,0.382,0.059,0.029,5
Sternoptychidae,Argyropelecus aculeatus,0.286,0.143,0,0,0.286,0.143,0.143,18
Sternoptychidae,Argyropelecus hemigymnus,0.5,0,0,0,0.5,0,0,17
Sternoptychidae,Sternoptyx diaphana,0,0.056,0.333,0.333,0.222,0.056,0,3
Sternoptychidae,Sternoptyx pseudobscura,0.148,0,0.037,0.074,0.704,0,0.037,2
Sternoptychidae,Valenciennellus tripunctulatus,0,0,0,0,0,0,0,1
Stomiidae,Photostomias guernei,1,0,0,0,0,0,0,6
,,,,,,,,,
